,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
43,0.1,2.3333333333333335,0.30000000000000004,0.2,0.005,0.0,0.0,0.9,1,300,0.07701864412483402,0.03907277023668482,0.05715575198430889,0.05851845004768613,0.0005534377401481274,0.00033764066180976953,4.4663138249522564e-05,0.000978684426321945
44,0.1,2.3333333333333335,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.08942878703731097,0.02939674130585772,0.05127775447904756,0.06772300644963691,0.000783774135717453,0.0006702502862416224,0.00012706956368805318,0.001497291798124954
45,0.1,2.3333333333333335,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.08898904273682146,0.030199598490294122,0.05193212625175117,0.06736551440171976,0.001027301510478405,0.0008653405034115601,6.46329697611382e-05,0.001995576711398147
46,0.1,2.3333333333333335,0.30000000000000004,0.4,0.005,0.0,0.0,0.97,1,300,0.076852705896847,0.043993911935701666,0.033062746689066565,0.08295559684449212,0.002489441670978763,0.000935050414111264,8.642074988108857e-05,0.004628333421684748
47,0.1,2.3333333333333335,0.30000000000000004,0.4,0.005,0.0,0.0,0.9,1,300,0.07628767529254928,0.04419624461834622,0.03595422993569096,0.08046716100782797,0.002732745198122431,0.0014524692719366618,9.476068230680633e-05,0.0061121374056115904
48,0.1,2.3333333333333335,0.30000000000000004,0.5,0.005,0.0,0.0,0.97,1,300,0.061293154628002826,0.054756410979094075,0.03551442304723955,0.08097685282592781,0.0056886862719448235,0.001440365462095145,0.0005184564978489349,0.007106062266771532
49,0.1,2.3333333333333335,0.30000000000000004,0.5,0.005,0.0,0.0,0.9,1,300,0.05970966013398351,0.06252736922823363,0.039803630150783295,0.07716787994954964,0.004961138809813794,0.0011038850808107287,0.000230952642448873,0.006753468461755995
50,0.1,2.3333333333333335,0.5,0.1,0.005,0.0,0.0,0.97,1,300,,,,,,,,
51,0.1,2.3333333333333335,0.5,0.1,0.005,0.0,0.0,0.9,1,300,,,,,,,,
52,0.1,2.3333333333333335,0.5,0.2,0.005,0.0,0.0,0.97,1,300,,,,,1.8325732802659612e-05,1.8325732802659616e-05,,
53,0.1,2.3333333333333335,0.5,0.2,0.005,0.0,0.0,0.9,1,300,,,,,1.8501321267588153e-05,1.850132126758815e-05,,
54,0.1,2.3333333333333335,0.5,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.07507697448847864,0.041050097553772404,0.057614203664005395,0.057967515187421444,0.00025933488933773123,0.00020884520856504312,5.939435387410175e-05,0.0004229758724367701
55,0.1,2.3333333333333335,0.5,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.0750822361630225,0.041527070724430855,0.05823687213426542,0.057937836521599145,0.00035417635649251253,0.0003004416717289183,3.250031918604896e-05,0.0007660549624462677
56,0.1,2.3333333333333335,0.5,0.4,0.005,0.0,0.0,0.97,1,300,0.08401117120905749,0.03284774061837064,0.06019311115654492,0.06202256841865236,0.0005392259966771701,0.00019964304954438395,0.0001327921965673655,0.0005617509270637977
57,0.1,2.3333333333333335,0.5,0.4,0.005,0.0,0.0,0.9,1,300,0.08389970867555757,0.03348634979447826,0.06026576711368339,0.06211638137437282,0.0007095548906776841,0.00044821339715623784,9.421384077427116e-05,0.0009555374129653235
58,0.1,2.3333333333333335,0.5,0.5,0.005,0.0,0.0,0.97,1,300,0.089428787037311,0.02939674130585771,0.05127775447904756,0.06772300644963693,0.0007837741357174509,0.0006702502862416199,0.00012706956368805194,0.0014972917981249483
59,0.1,2.3333333333333335,0.5,0.5,0.005,0.0,0.0,0.9,1,300,0.08898904273682146,0.030199598490294098,0.05193212625175117,0.06736551440171976,0.0010273015104784052,0.0008653405034115588,6.463296976113809e-05,0.0019955767113981476
60,0.1,2.6666666666666665,0.1,0.1,0.005,0.0,0.0,0.97,1,300,0.09061283817776036,0.028983283103423123,0.05317021301975437,0.06644710644778014,0.0005411272831267945,0.0006236675589495786,0.00013238299092902965,0.001169332006617034
61,0.1,2.6666666666666665,0.1,0.1,0.005,0.0,0.0,0.9,1,300,0.08898081868823195,0.036955504778234734,0.053700185393474584,0.06618449035671602,0.0008796092792227876,0.0009377627434918871,5.501021339436145e-05,0.001934791917259542
62,0.1,2.6666666666666665,0.1,0.2,0.005,0.0,0.0,0.97,1,300,0.0525665024542756,0.06784742200072563,0.03842274903658943,0.07837527636161387,0.009318713269112832,0.0016301823251649737,0.0012821176514190827,0.008500818708852043
